"NR_all_29909.1","4V9Q|1|DV","4V9Q|1|DV,4V9Q|1|BV,4V9Q|1|DW,4V9Q|1|BW"
"NR_all_76789.1","3J0P|1|W","3J0P|1|W,3J0Q|1|Y,3J0Q|1|W"
"NR_all_12494.1","6CFJ|1|1x","6CFJ|1|1x,6CFJ|1|2x,5IMQ|1|4,5IMR|1|4"
"NR_all_35542.53","5L4O|1|A","5L4O|1|A,5HCQ|1|1x,4V6G|1|CC,4WQ1|1|2K,5IBB|1|2K,6CAE|1|1x,4WQR|1|2K,5HCQ|1|2x,4V5F|1|CV,5IB7|1|2K,4V8D|1|CC,5HCR|1|1x,4Z8C|1|1x,5J4B|1|1x,4WQ1|1|2L,5EL7|1|2K,4WSD|1|2L,4V8D|1|AC,5IBB|1|2L,5J4B|1|2x,4Z8C|1|2x,4WSD|1|2K,6CAE|1|2x,4WT1|1|2L,4WQR|1|2L,5J4C|1|1x,4WPO|1|BX,5W4K|1|1x,4V6G|1|AC,1VY4|1|AX,5DFE|1|XV,4W2H|1|AX,5HCR|1|2x,5EL7|1|2L,4LNT|1|XV,5HD1|1|1x,5HCP|1|1x,5HAU|1|1w,5J4C|1|2x,4W2I|1|AX,5WIS|1|1x,5IB7|1|2L,5EL6|1|2K,4WT1|1|2K,5IB8|1|2K,4W2G|1|CX,4LNT|1|QV,4V7M|1|AX,4W2H|1|CX,4YZV|1|XV,5W4K|1|2x,4V5F|1|AV,5DFE|1|QV,4WRA|1|2K,4WRA|1|2L,5EL6|1|2L,5HAU|1|2w,5E7K|1|2K,4V9S|1|AX,5IB8|1|2L,4Y4P|1|1x,4W2G|1|AX,4WR6|1|2K,4WR6|1|2L,3CW5|1|A,5EL4|1|2K,5HCP|1|2x,4W4G|1|XV,5DOY|1|1x,4ZER|1|1x,5WIT|1|1x,5EL5|1|2K,5HD1|1|2x,4V9S|1|CX,4W2I|1|CX,5E7K|1|2L,1VY7|1|AX,4Z3S|1|1x,4YZV|1|QV,1VY4|1|CX,4W2F|1|AX,4V8Q|1|BV,1VY5|1|AX,4V51|1|CV,4WPO|1|DX,4ZSN|1|XV,4YPB|1|XV,4W4G|1|QV,4V9R|1|AX,4V9R|1|CX,4WZO|1|2K,5EL4|1|2L,4W2F|1|CX,5WIS|1|2x,4V8E|1|DC,4WRO|1|2K,4V51|1|AV,4V5C|1|AV,4Y4P|1|2x,1VY6|1|AX,4Z3S|1|2x,4ZER|1|2x,4ZSN|1|QV,1VY6|1|CX,4WQY|1|BX,5DOY|1|2x,4V8F|1|BC,4WRO|1|2L,5WIT|1|2x,4V5C|1|CV,5F8K|1|1x,4V87|1|CC,4WZO|1|2L,4TUC|1|QV,4YPB|1|QV,1VY5|1|CX,4V8B|1|AC,4P6F|1|XV,4LT8|1|XV,4V87|1|BC,4V8C|1|DC,4TUC|1|XV,4V7M|1|CX,4V8E|1|BC,5EL5|1|2L,4V5F|1|AW,4V5F|1|CW,4TUA|1|XV,4V9I|1|AV,4TUA|1|QV,6GSK|1|2L,4V67|1|AY,4TUB|1|XV,4V7L|1|CX,4V7P|1|DW,4V8B|1|CC,4TUB|1|QV,4V7L|1|AX,4TUD|1|QV,4LT8|1|QV,4P6F|1|QV,4P70|1|XV,4V8C|1|CC,4V5K|1|AV,4V7P|1|AW,5F8K|1|2x,4V67|1|CY,4P70|1|QV,4TUD|1|XV,1VVJ|1|XV,4WQY|1|DX,1VY7|1|CX,5CZP|1|XV,6GSK|1|2K,5CZP|1|QV,4V9I|1|CV,4V8F|1|CC,4LSK|1|XV,4V6G|1|CD,4V63|1|AY,4LFZ|1|XV,4LSK|1|QV,4V63|1|CY,1VVJ|1|QV,4LFZ|1|QV,3CW6|1|A,3QSY|1|D,4L71|1|XV,5D8B|1|FD,6B4V|1|HB,4V97|1|AV,4LEL|1|XV,4V6G|1|AD,4V8C|1|DD,4WZO|1|1K,4L71|1|QV,5D8B|1|ED,6B4V|1|IA,6B4V|1|D,4V5K|1|CV,6B4V|1|MC,4LEL|1|QV,4V8C|1|CD,4V97|1|CV,4V8B|1|AD,4V87|1|BD,4W4G|1|XW,4W4G|1|QW,4V87|1|CD,4V63|1|CZ,4V8B|1|CD,4V67|1|AZ,4V63|1|AZ,5D8B|1|XC,4V8J|1|CV,4V6G|1|CB,4V8O|1|AV,5D8B|1|BD,4V8J|1|AV,4V67|1|CZ,4V5K|1|AW,4V5K|1|CW,3V11|1|D,4YPB|1|XW,4YPB|1|QW,4V4Z|1|AC,4V8Q|1|BW,4V4X|1|AC,6GSJ|1|2L,6GSJ|1|2K,4V6A|1|CW,4V6A|1|AW,6GSL|1|2L,6GSL|1|2K,6BOH|1|NC,6BOH|1|IA,6BOH|1|D,6BOH|1|IB,6AZ1|1|3,4BTC|1|V,5AFI|1|v,5AFI|1|w,6H4N|1|w,5H5U|1|5,5J3C|1|XV,5WDT|1|v,5WFS|1|v,5WDT|1|w,5WFS|1|w,5J3C|1|QV,5MDV|1|5,6BZ6|1|QV,5WE4|1|v,5WE4|1|w,5U9G|1|W,5UYM|1|W,5U9F|1|W,5UQ8|1|y,5U9F|1|X,5UYM|1|X,5U9G|1|X,6BZ6|1|XV,5MDW|1|5,6C4I|1|y,6C4I|1|x,5J30|1|QV,5J30|1|XV,5MDZ|1|5,2FMT|1|D,2FMT|1|C,5ZEB|1|v,5ZEP|1|w,3JCE|1|8,5LZD|1|v,5WE6|1|v,5WFK|1|v,5WFK|1|w,5WE6|1|w,6BU8|1|X,6BU8|1|W,5UQ7|1|y,5U4I|1|y,5U4I|1|x,5MDY|1|5,6BUW|1|XV,5UYL|1|X,5UYL|1|W,6BUW|1|QV,5LZA|1|v,5WF0|1|v,5WF0|1|w,5ZEU|1|v,6DNC|1|D,6DNC|1|LA,6BZ7|1|XV,5L3P|1|x,3JCJ|1|v,5UYQ|1|X,6GXM|1|x,5UYQ|1|W,6GWT|1|x,6BZ8|1|QV,6BZ8|1|XV,6BZ7|1|QV,5KPS|1|31,5KPW|1|31,5UYK|1|W,5UYP|1|W,6GXN|1|x,5UYK|1|X,5UYP|1|X,6GXO|1|x,5KPX|1|31,5KPS|1|32,3J9Y|1|v,5UYN|1|X,5UYN|1|W,5IQR|1|5,6BZ7|1|XW,5KPW|1|32,6BZ8|1|XW,6BZ7|1|QW,5KPV|1|31,6BZ8|1|QW,5KPX|1|32,5KPV|1|32,5LMU|1|Z,5LZF|1|v,3JCN|1|v,3JBN|1|7,5LZC|1|v,5U4J|1|x+5U4J|1|z,5LZB|1|v,5LMV|1|Z,3JBO|1|7,5LMQ|1|Z,3J77|1|PT,3J78|1|ET,3J78|1|PT,5LMS|1|Z,5JBH|1|4,5JB3|1|4,4V69|1|AV,4V7B|1|AV,3J5S|1|E,6H58|1|w,6H58|1|ww,4V6V|1|A3,4V6T|1|AX,3DEG|1|B,4V6R|1|AD,4V6Q|1|AD,1EG0|1|O,4V6Y|1|A3,4V6Z|1|A3,4V75|1|A3,4V6N|1|BD,5ZEY|1|B,4V72|1|A3,4V6S|1|BC,4V6P|1|AD,5ME1|1|X,4V6O|1|AD,4V79|1|A3,4V73|1|A3,5ME0|1|X,4V74|1|A3,4V70|1|A3,4V77|1|A3,4V76|1|A3,4V71|1|A3,4V78|1|A3"
"NR_all_20721.8","5E81|1|2K","5E81|1|2K,5J8B|1|x,4V95|1|AV,4V7J|1|Av,4V9B|1|AC,4V7J|1|Bv,5E81|1|2L,4V9B|1|CC,4V95|1|CV,4V7K|1|Bv,4V7K|1|Av,4WT8|1|C4,4V9A|1|AC,4L47|1|XV,4V7K|1|Bw,4L47|1|QV,4V7K|1|Aw,4V9A|1|CC,4V7J|1|Aw,4V7J|1|Bw,4V9B|1|CD,4V4J|1|z,4V9B|1|AD,4V5A|1|AW,4V5A|1|CW,4V8X|1|AV,4V9N|1|CW,4V8X|1|CV,4V9N|1|AW,4V8U|1|CW,4V8U|1|AW,4V8X|1|CW,4V8X|1|AW,6BOK|1|IA,6BOK|1|LC,6BOK|1|D,6BOK|1|GB,3J9Z|1|S6,5ZLU|1|DD,3JA1|1|S2,5LMT|1|Z,5LMR|1|Z,4V68|1|AV,4V5N|1|AV,4V5M|1|AV"
"NR_all_47349.1","4WT8|1|D4","4WT8|1|D4"
"NR_all_72820.1","4TUE|1|QV","4TUE|1|QV,4TUE|1|XV"
"NR_all_03720.1","3J92|1|2","3J92|1|2"
"NR_all_31948.1","2LB4|1|B","2LB4|1|B,2LAR|1|B,1C2Q|1|B"
"NR_all_66230.1","4QK8|1|A","4QK8|1|A,4QKA|1|A"
"NR_all_42907.1","2H49|1|A+2H49|1|B","2H49|1|A+2H49|1|B"
